deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,link_id,partner_link_accumulated_id,punter_id,cpa_betenlace,cpa_partner,deposit_count,stake_count,could_be_fraud,updated_at,created_at
303.00000000,0.00000000,EUR,0.00000000,-7.95000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90726,6232,2199,1247405,0,0,0,0,false,2024-10-25 17:47:16.088000 +00:00,2023-12-06 00:00:00.000000 +00:00
90.00000000,0.00000000,EUR,0.00000000,-69.46000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90797,6232,2199,1244499,0,0,0,0,false,2024-10-25 17:50:19.425000 +00:00,2024-05-12 00:00:00.000000 +00:00
633.00000000,0.00000000,EUR,0.00000000,489.77000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90691,6232,2199,1245223,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,-0.76000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90752,6232,2199,1244907,0,0,0,0,false,2024-10-25 17:48:36.032000 +00:00,2024-01-02 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,-0.26000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90690,6232,2199,1244937,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
20.00000000,0.00000000,EUR,0.00000000,18.63000000,0.00000000,0.00000000,EUR,,,,2023-10-23,,90700,6232,2199,1245387,0,0,0,0,false,2024-10-25 17:47:15.532000 +00:00,2023-12-02 00:00:00.000000 +00:00
10.00000000,0.00000000,EUR,0.00000000,7.40000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,90725,6232,2199,1245642,0,0,0,0,false,2024-10-25 17:47:16.088000 +00:00,2023-12-06 00:00:00.000000 +00:00
451.00000000,0.00000000,EUR,0.00000000,-111.12000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,90795,6232,2199,1245659,0,0,0,0,false,2024-10-25 17:50:18.980000 +00:00,2024-05-08 00:00:00.000000 +00:00
20.00000000,0.00000000,EUR,0.00000000,19.00000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,90708,6232,2199,1246356,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
214.00000000,0.00000000,EUR,0.00000000,-27.61000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,90770,6232,2199,1246500,0,0,0,0,false,2024-10-25 17:48:53.275000 +00:00,2024-01-18 00:00:00.000000 +00:00
20.00000000,0.00000000,EUR,0.00000000,28.54000000,0.00000000,0.00000000,EUR,,,,2023-10-25,,90737,6232,2199,1249536,0,0,0,0,false,2024-10-25 17:47:46.815000 +00:00,2023-12-22 00:00:00.000000 +00:00
40.00000000,0.00000000,EUR,0.00000000,30.42000000,0.00000000,0.00000000,EUR,,,,2023-10-25,,90775,6232,2199,1249146,0,0,0,0,false,2024-10-25 17:49:14.745000 +00:00,2024-02-06 00:00:00.000000 +00:00
20.00000000,0.00000000,EUR,0.00000000,24.61000000,0.00000000,0.00000000,EUR,,,,2023-10-25,,90709,6232,2199,1249570,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
870.00000000,0.00000000,EUR,0.00000000,414.94000000,0.00000000,0.00000000,EUR,,,,2023-10-26,,90738,6232,2199,1250173,0,0,0,0,false,2024-10-25 17:47:46.815000 +00:00,2023-12-22 00:00:00.000000 +00:00
